genome	cluster	size	extended_phylogeny	succinct_phylogeny	final_representative	rep_accession	ecogenomics_classificaion	final_classification	updated_classification	initial_classification	accession	genome_extended	genome_type	is_95ANI_rep	new_isolate	existing_isolate	isolate_origin
HIMB1420	cluster_000054	1	include	include	HIMB1420	HIMB1420		Ia.3.II	Ia.3.II	Ia.3.II	HIMB1420	HIMB1420	isolate	TRUE	yes	no	new_HIMB
HIMB1427	cluster_000117	1	include	include	HIMB1427	HIMB1427		Ia.3.II	Ia.3.II	Ia.3.II	HIMB1427	HIMB1427	isolate	TRUE	yes	no	new_HIMB
HIMB1463	cluster_000010	2	include	excluded_not_95_rep	HIMB1564	HIMB1564		Ia.3.II	Ia.3.II	Ia.3.II	HIMB1463	HIMB1463	isolate	NA	yes	no	new_HIMB
HIMB1520	cluster_000259	1	include	include	HIMB1520	HIMB1520		Ia.3.II	Ia.3.II	Ia.3.II	HIMB1520	HIMB1520	isolate	TRUE	yes	no	new_HIMB
HIMB1564	cluster_000010	2	include	include	HIMB1564	HIMB1564		Ia.3.II	Ia.3.II	Ia.3.II	HIMB1564	HIMB1564	isolate	TRUE	yes	no	new_HIMB
HIMB5	cluster_000189	1	include	include	HIMB5	HIMB5		Ia.3.II	Ia.3.II	Ia.3.II	HIMB5	HIMB5	isolate	TRUE	no	yes	old_HIMB
HIMB1321	cluster_000016	5	include	excluded_not_95_rep	HIMB4	HIMB4		Ia.3.III	Ia.3.III	Ia.3.III	HIMB1321	HIMB1321	isolate	NA	no	yes	old_HIMB
HIMB1505	cluster_000016	5	include	excluded_not_95_rep	HIMB4	HIMB4		Ia.3.III	Ia.3.III	Ia.3.III	HIMB1505	HIMB1505	isolate	NA	yes	no	new_HIMB
HIMB1527	cluster_000016	5	include	excluded_not_95_rep	HIMB4	HIMB4		Ia.3.III	Ia.3.III	Ia.3.III	HIMB1527	HIMB1527	isolate	NA	yes	no	new_HIMB
HIMB1549	cluster_000016	5	include	excluded_not_95_rep	HIMB4	HIMB4		Ia.3.III	Ia.3.III	Ia.3.III	HIMB1549	HIMB1549	isolate	NA	yes	no	new_HIMB
HIMB4	cluster_000016	5	include	include	HIMB4	HIMB4		Ia.3.III	Ia.3.III	Ia.3.III	HIMB4	HIMB4	isolate	TRUE	no	yes	old_HIMB
HTCC8051	cluster_000051	1	include	include	HTCC8051	HTCC8051		Ia.3.IV	Ia.3.IV	Ia.3.IV	HTCC8051	HTCC8051	isolate	TRUE	no	yes	other
HTCC9022	cluster_000230	1	include	include	HTCC9022	HTCC9022		Ia.3.IV	Ia.3.IV	Ia.3.IV	HTCC9022	HTCC9022	isolate	TRUE	no	yes	other
FZCC0015	cluster_000210	1	include	include	FZCC0015	FZCC0015		Ia.3.V	Ia.3.V	Ia.3.V	FZCC0015	FZCC0015	isolate	TRUE	no	yes	other
HIMB123	cluster_000068	1	include	include	HIMB123	HIMB123		Ia.3.V	Ia.3.V	Ia.3.V	HIMB123	HIMB123	isolate	TRUE	yes	no	old_HIMB
HIMB1409	cluster_000020	1	include	include	HIMB1409	HIMB1409		Ia.3.V	Ia.3.V	Ia.3.V	HIMB1409	HIMB1409	isolate	TRUE	yes	no	new_HIMB
HIMB1413	cluster_000283	1	include	include	HIMB1413	HIMB1413		Ia.3.V	Ia.3.V	Ia.3.V	HIMB1413	HIMB1413	isolate	TRUE	yes	no	new_HIMB
HIMB1444	cluster_000046	1	include	include	HIMB1444	HIMB1444		Ia.3.V	Ia.3.V	Ia.3.V	HIMB1444	HIMB1444	isolate	TRUE	yes	no	new_HIMB
HIMB1456	cluster_000130	1	include	include	HIMB1456	HIMB1456		Ia.3.V	Ia.3.V	Ia.3.V	HIMB1456	HIMB1456	isolate	TRUE	yes	no	new_HIMB
HIMB2201	cluster_000289	1	include	include	HIMB2201	HIMB2201		Ia.3.V	Ia.3.V	Ia.3.V	HIMB2201	HIMB2201	isolate	TRUE	yes	no	new_HIMB
HIMB2250	cluster_000078	1	include	include	HIMB2250	HIMB2250		Ia.3.V	Ia.3.V	Ia.3.V	HIMB2250	HIMB2250	isolate	TRUE	yes	no	new_HIMB
HIMB2304	cluster_000295	1	include	include	HIMB2304	HIMB2304		Ia.3.V	Ia.3.V	Ia.3.V	HIMB2304	HIMB2304	isolate	TRUE	yes	no	new_HIMB
HIMB83	cluster_000082	2	include	include	HIMB83	HIMB83		Ia.3.V	Ia.3.V	Ia.3.V	HIMB83	HIMB83	isolate	TRUE	no	NA	old_HIMB
HIMB122	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB122	HIMB122	isolate	NA	no	yes	old_HIMB
HIMB140	cluster_000011	45	include	include	HIMB140	HIMB140		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB140	HIMB140	isolate	TRUE	no	yes	old_HIMB
HIMB1430	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1430	HIMB1430	isolate	NA	yes	no	new_HIMB
HIMB1485	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1485	HIMB1485	isolate	NA	yes	no	new_HIMB
HIMB1488	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1488	HIMB1488	isolate	NA	yes	no	new_HIMB
HIMB1490	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1490	HIMB1490	isolate	NA	yes	no	new_HIMB
HIMB1491	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1491	HIMB1491	isolate	NA	yes	no	new_HIMB
HIMB1492	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1492	HIMB1492	isolate	NA	yes	no	new_HIMB
HIMB1493	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1493	HIMB1493	isolate	NA	yes	no	new_HIMB
HIMB1494	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1494	HIMB1494	isolate	NA	yes	no	new_HIMB
HIMB1495	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1495	HIMB1495	isolate	NA	yes	no	new_HIMB
HIMB1506	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1506	HIMB1506	isolate	NA	yes	no	new_HIMB
HIMB1507	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1507	HIMB1507	isolate	NA	yes	no	new_HIMB
HIMB1509	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1509	HIMB1509	isolate	NA	yes	no	new_HIMB
HIMB1513	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1513	HIMB1513	isolate	NA	yes	no	new_HIMB
HIMB1518	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1518	HIMB1518	isolate	NA	yes	no	new_HIMB
HIMB1521	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1521	HIMB1521	isolate	NA	yes	no	new_HIMB
HIMB1526	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1526	HIMB1526	isolate	NA	yes	no	new_HIMB
HIMB1542	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1542	HIMB1542	isolate	NA	yes	no	new_HIMB
HIMB1552	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1552	HIMB1552	isolate	NA	yes	no	new_HIMB
HIMB1556	cluster_000011	45	include	include	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1556	HIMB1556	isolate	TRUE	yes	no	new_HIMB
HIMB1559	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1559	HIMB1559	isolate	NA	yes	no	new_HIMB
HIMB1573	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1573	HIMB1573	isolate	NA	yes	no	new_HIMB
HIMB1577	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1577	HIMB1577	isolate	NA	yes	no	new_HIMB
HIMB1587	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1587	HIMB1587	isolate	NA	yes	no	new_HIMB
HIMB1593	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1593	HIMB1593	isolate	NA	yes	no	new_HIMB
HIMB1597	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1597	HIMB1597	isolate	NA	yes	no	new_HIMB
HIMB1602	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1602	HIMB1602	isolate	NA	yes	no	new_HIMB
HIMB1611	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1611	HIMB1611	isolate	NA	yes	no	new_HIMB
HIMB1623	cluster_000341	2	include	excluded_not_95_rep	HIMB1709	HIMB1709		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1623	HIMB1623	isolate	NA	yes	no	new_HIMB
HIMB1631	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1631	HIMB1631	isolate	NA	yes	no	new_HIMB
HIMB1636	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1636	HIMB1636	isolate	NA	yes	no	new_HIMB
HIMB1641	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1641	HIMB1641	isolate	NA	yes	no	new_HIMB
HIMB1662	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1662	HIMB1662	isolate	NA	yes	no	new_HIMB
HIMB1685	cluster_000072	1	include	include	HIMB1685	HIMB1685		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1685	HIMB1685	isolate	TRUE	yes	no	new_HIMB
HIMB1695	cluster_000280	1	include	include	HIMB1695	HIMB1695		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1695	HIMB1695	isolate	TRUE	yes	no	new_HIMB
HIMB1701	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1701	HIMB1701	isolate	NA	yes	no	new_HIMB
HIMB1702	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1702	HIMB1702	isolate	NA	yes	no	new_HIMB
HIMB1709	cluster_000341	2	include	include	HIMB1709	HIMB1709		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1709	HIMB1709	isolate	TRUE	yes	no	new_HIMB
HIMB1710	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1710	HIMB1710	isolate	NA	yes	no	new_HIMB
HIMB1715	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1715	HIMB1715	isolate	NA	yes	no	new_HIMB
HIMB1723	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1723	HIMB1723	isolate	NA	yes	no	new_HIMB
HIMB1746	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1746	HIMB1746	isolate	NA	yes	no	new_HIMB
HIMB1748	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1748	HIMB1748	isolate	NA	yes	no	new_HIMB
HIMB1758	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1758	HIMB1758	isolate	NA	yes	no	new_HIMB
HIMB1765	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1765	HIMB1765	isolate	NA	yes	no	new_HIMB
HIMB1770	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1770	HIMB1770	isolate	NA	yes	no	new_HIMB
HIMB1782	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB1782	HIMB1782	isolate	NA	yes	no	new_HIMB
HIMB2211	cluster_000011	45	include	excluded_not_95_rep	HIMB1556	HIMB1556		Ia.3.VI	Ia.3.VI	1a.3.VI	HIMB2211	HIMB2211	isolate	NA	yes	no	new_HIMB
HIMB1483	cluster_000245	1	include	include	HIMB1483	HIMB1483		Ia.4.1483	Ia.4.1483	Ia.4.1483	HIMB1483	HIMB1483	isolate	TRUE	yes	no	new_HIMB
HIMB1402	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	HIMB1402	HIMB1402	isolate	NA	yes	NA	new_HIMB
HIMB1838	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	HIMB1838	HIMB1838	isolate	NA	yes	NA	new_HIMB
HIMB1863	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	HIMB1863	HIMB1863	isolate	NA	yes	NA	new_HIMB
HIMB2104	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	HIMB2104	HIMB2104	isolate	NA	yes	NA	new_HIMB
HIMB2200	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	HIMB2200	HIMB2200	isolate	NA	yes	NA	new_HIMB
HIMB2204	cluster_000030	16	include	include	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	HIMB2204	HIMB2204	isolate	TRUE	yes	NA	new_HIMB
HIMB2215	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	HIMB2215	HIMB2215	isolate	NA	yes	NA	new_HIMB
HIMB1437	cluster_000308	1	include	include	HIMB1437	HIMB1437		Ia.4.II	Ia.4.II	Ia.4.II	HIMB1437	HIMB1437	isolate	TRUE	yes	no	new_HIMB
HIMB1835	cluster_000317	1	include	include	HIMB1835	HIMB1835		Ia.4.II	Ia.4.II	Ia.4.II	HIMB1835	HIMB1835	isolate	TRUE	yes	no	new_HIMB
HIMB1436	cluster_000058	1	include	include	HIMB1436	HIMB1436		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	HIMB1436	HIMB1436	isolate	TRUE	yes	no	new_HIMB
HIMB2187	cluster_000066	1	include	include	HIMB2187	HIMB2187		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	HIMB2187	HIMB2187	isolate	TRUE	yes	no	new_HIMB
HIMB2226	cluster_000285	1	include	include	HIMB2226	HIMB2226		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	HIMB2226	HIMB2226	isolate	TRUE	yes	no	new_HIMB
RS39	cluster_000008	1	include	include	RS39	RS39		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	RS39	RS39	isolate	TRUE	no	yes	other
HIMB2305	cluster_000107	1	include	include	HIMB2305	HIMB2305		Ib.1	Ib.1	Ib.1	HIMB2305	HIMB2305	isolate	TRUE	yes	no	new_HIMB
RS40	cluster_000055	4	include	include	RS40	RS40		Ib.1	Ib.1	Ib.1	RS40	RS40	isolate	TRUE	no	NA	other
HIMB58	cluster_000057	1	include	include	HIMB58	HIMB58		II	II	IIa	HIMB58	HIMB58	isolate	TRUE	no	yes	old_HIMB
HIMB109	cluster_000096	4	include	excluded_not_95_rep	HIMB114	HIMB114		III	III	IIIa	HIMB109	HIMB109	isolate	NA	yes	no	new_HIMB
HIMB114	cluster_000096	4	include	include	HIMB114	HIMB114	IIIa.1	III	III	IIIa	HIMB114	HIMB114	isolate	TRUE	no	yes	old_HIMB
HIMB1517	cluster_000096	4	include	excluded_not_95_rep	HIMB114	HIMB114		III	III	IIIa	HIMB1517	HIMB1517	isolate	NA	yes	no	new_HIMB
HIMB1565	cluster_000096	4	include	excluded_not_95_rep	HIMB114	HIMB114		III	III	IIIa	HIMB1565	HIMB1565	isolate	NA	yes	no	new_HIMB
IMCC9063	cluster_000315	1	include	include	IMCC9063	IMCC9063	IIIa.2	III	III	IIIa	IMCC9063	IMCC9063	isolate	TRUE	no	yes	other
LSUCC0530	cluster_000342	1	include	include	LSUCC0530	LSUCC0530		III	III	IIIb	LSUCC0530	LSUCC0530	isolate	TRUE	no	yes	other
GCA_000421265	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_000421265.1	GCA_000421265.1	isolate	NA	NA	NA	NA
GCA_000513295	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_000513295.1	GCA_000513295.1	isolate	NA	NA	NA	NA
GCA_000688235	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_000688235.1	GCA_000688235.1	isolate	NA	NA	NA	NA
GCA_000968135	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_000968135.1	GCA_000968135.1	isolate	NA	NA	NA	NA
GCA_014672695	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_014672695.1	GCA_014672695.1	isolate	NA	NA	NA	NA
GCA_021555045	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_021555045.1	GCA_021555045.1	isolate	NA	NA	NA	NA
GCA_026163695	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_026163695.1	GCA_026163695.1	isolate	NA	NA	NA	NA
GCA_027864655	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_027864655.1	GCA_027864655.1	isolate	NA	NA	NA	NA
GCA_029318635	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_029318635.1	GCA_029318635.1	isolate	NA	NA	NA	NA
GCA_902725215	NA	1	include	include	NA	NA		outgroup	outgroup	outgroup	GCA_902725215.1	GCA_902725215.1	isolate	NA	NA	NA	NA
GCA_902595535_1_AG_447_M05	cluster_000265	1	include	include	GCA_902595535.1_AG-447-M05	GCA_902595535.1		Ia.3.I	Ia.3.I	Ia.3.I	GCA_902595535.1	GCA_902595535.1_AG-447-M05	SAG	TRUE	NA	NA	NA
GCA_014653385_1_SAG_MED50	cluster_000104	1	include	include	GCA_014653385.1_SAG-MED50	GCA_014653385.1	Ia.3.VIII	Ia.3.IV	Ia.3.IV	Ia.3.VIII	GCA_014653385.1	GCA_014653385.1_SAG-MED50	SAG	TRUE	NA	NA	NA
GCA_902555825_1_AG_390_D18	cluster_000191	1	include	include	GCA_902555825.1_AG-390-D18	GCA_902555825.1	Ia.3.VIII	Ia.3.IV	NA	Ia.3.IV	GCA_902555825.1	GCA_902555825.1_AG-390-D18	SAG	TRUE	NA	NA	NA
GCA_902558255_1_AG_390_L03	cluster_000247	1	include	include	GCA_902558255.1_AG-390-L03	GCA_902558255.1	Ia.3.VIII	Ia.3.IV	NA	Ia.3.IV	GCA_902558255.1	GCA_902558255.1_AG-390-L03	SAG	TRUE	NA	NA	NA
GCA_001179845_1_SCGC_AAA795_A20	cluster_000082	2	include	excluded_not_95_rep	HIMB83	HIMB83	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_001179845.1	GCA_001179845.1_SCGC-AAA795-A20	SAG	NA	NA	NA	NA
GCA_902521615_1_AG_894_O09	cluster_000347	1	include	include	GCA_902521615.1_AG-894-O09	GCA_902521615.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902521615.1	GCA_902521615.1_AG-894-O09	SAG	TRUE	NA	NA	NA
GCA_902522115_1_AG_894_P23	cluster_000067	2	include	excluded_not_95_rep	GCA_902599105.1_AG-916-M13	GCA_902599105.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902522115.1	GCA_902522115.1_AG-894-P23	SAG	NA	NA	NA	NA
GCA_902523515_1_AG_895_F17	cluster_000332	1	include	include	GCA_902523515.1_AG-895-F17	GCA_902523515.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902523515.1	GCA_902523515.1_AG-895-F17	SAG	TRUE	NA	NA	NA
GCA_902529645_1_AG_896_O18	cluster_000183	1	include	include	GCA_902529645.1_AG-896-O18	GCA_902529645.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902529645.1	GCA_902529645.1_AG-896-O18	SAG	TRUE	NA	NA	NA
GCA_902537795_1_AG_349_L17	cluster_000188	1	include	include	GCA_902537795.1_AG-349-L17	GCA_902537795.1		Ia.3.V	NA	Ia.3.V	GCA_902537795.1	GCA_902537795.1_AG-349-L17	SAG	TRUE	NA	NA	NA
GCA_902538845_1_AG_349_O05	cluster_000136	1	include	include	GCA_902538845.1_AG-349-O05	GCA_902538845.1	Ia.3.V	Ia.3.V	NA	Ia.3.V	GCA_902538845.1	GCA_902538845.1_AG-349-O05	SAG	TRUE	NA	NA	NA
GCA_902555665_1_AG_390_D05	cluster_000251	1	include	include	GCA_902555665.1_AG-390-D05	GCA_902555665.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902555665.1	GCA_902555665.1_AG-390-D05	SAG	TRUE	NA	NA	NA
GCA_902557155_1_AG_390_G23	cluster_000048	1	include	include	GCA_902557155.1_AG-390-G23	GCA_902557155.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902557155.1	GCA_902557155.1_AG-390-G23	SAG	TRUE	NA	NA	NA
GCA_902558545_1_AG_390_L16	cluster_000160	1	include	include	GCA_902558545.1_AG-390-L16	GCA_902558545.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902558545.1	GCA_902558545.1_AG-390-L16	SAG	TRUE	NA	NA	NA
GCA_902558835_1_AG_390_M14	cluster_000181	1	include	include	GCA_902558835.1_AG-390-M14	GCA_902558835.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902558835.1	GCA_902558835.1_AG-390-M14	SAG	TRUE	NA	NA	NA
GCA_902566705_1_AG_410_O02	cluster_000344	1	include	include	GCA_902566705.1_AG-410-O02	GCA_902566705.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902566705.1	GCA_902566705.1_AG-410-O02	SAG	TRUE	NA	NA	NA
GCA_902571135_1_AG_422_B22	cluster_000335	1	include	include	GCA_902571135.1_AG-422-B22	GCA_902571135.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902571135.1	GCA_902571135.1_AG-422-B22	SAG	TRUE	NA	NA	NA
GCA_902571425_1_AG_422_C20	cluster_000203	1	include	include	GCA_902571425.1_AG-422-C20	GCA_902571425.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902571425.1	GCA_902571425.1_AG-422-C20	SAG	TRUE	NA	NA	NA
GCA_902571845_1_AG_422_D23	cluster_000293	1	include	include	GCA_902571845.1_AG-422-D23	GCA_902571845.1	Ia.3.V	Ia.3.V	NA	Ia.3.V	GCA_902571845.1	GCA_902571845.1_AG-422-D23	SAG	TRUE	NA	NA	NA
GCA_902572515_1_AG_422_G03	cluster_000269	1	include	include	GCA_902572515.1_AG-422-G03	GCA_902572515.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902572515.1	GCA_902572515.1_AG-422-G03	SAG	TRUE	NA	NA	NA
GCA_902587755_1_AG_913_L03	cluster_000173	1	include	include	GCA_902587755.1_AG-913-L03	GCA_902587755.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902587755.1	GCA_902587755.1_AG-913-L03	SAG	TRUE	NA	NA	NA
GCA_902589455_1_AG_439_D05	cluster_000345	1	include	include	GCA_902589455.1_AG-439-D05	GCA_902589455.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902589455.1	GCA_902589455.1_AG-439-D05	SAG	TRUE	NA	NA	NA
